OBJECTID,WARD,LOCATION,COUNT_,INSTALLYEAR,X,Y
1,4,600 Farragut St. NW,2,FY-08,398244.29,142545.16
2,4,300 Gallatin St. NW,2,FY-08,398601.96,142683.13
3,5,Unit Blk R Street NW,2,FY-08,398906.08,138326.98
4,5,Unit  BLK S Street NW (2) Tables,2,FY-08,398923.32,138453.6
5,5,Unit & 100 BLK Quincy St NE (2) 12FT,2,FY-08,399453.64,138238.49
6,5,Unit & 100 BLK Q St NE (2) 22FT,2,FY-08,399464.96,138105.77
7,5,Unit  Blk Quincy Pl NW (12),2,FY-08,399453.64,138238.49
8,5,100 Blk Adams St. NW,2,FY-08,398885.81001292,139151.35958256
9,5,Unit Blk Adams St. NW,2,FY-08,399081.1465251,139151.14889456
10,5,2300 Blk 15th Street NE,2,FY-08,401501.51123135,139260.13116666
11,5,2700 Blk 10th St. NE ,2,FY-08,400656.79167856,139685.82553506
12,5,1300 Blk Lawrence St. NE btw 13th & 14th,2,FY-08,401088.61372696,140427.37673575
13,5,400 Blk Jefferson St NW,2,FY-08,398370.55292444,143056.03075419
14,6,Unit blk Randolph pl NW  (2) 22ft,2,FY-08,398901.11,138365.85
15,6,"15th Street , F Street & Tenn Ave NE (raised cross walk)",2,FY-08,401418.07999927,136649.23999624
16,6,1500 Islamic Way,2,FY-08,396784.61,137912.52
17,6,1200 Blk Potomac Ave SE,2,FY-08,400930.34879882,134551.08415429
18,6,"1300 Blk Potomac Ave SE  (22"") ",2,FY-08,401038.09,134574.31
19,7,200 Blk 50th St SE (2),2,FY-08,406004.16,135348.37
20,7,4900 Blk B St SE (2),2,FY-08,405941.81933147,135443.69967512
21,7,5000 Blk Bass Pl SE (2),2,FY-08,406127.17494764,135335.18956302
22,7,1700 Blk Gainesville St SE (2),2,FY-08,401681.04838351,131927.99138386
23,7,2100 Blk 31st Street SE  (12'),2,FY-08,403225.06,132953.91
24,7,400 Blk 20th St NE   (12'),2,FY-08,402045.84,136376.86
25,7,3400 Dix St. NE,2,FY-08,403733.76,136345.86
26,7,3300 Clay St NE,2,FY-08,403523.79,136211.51
27,7,Unit Blk Elmira St. SW,2,FY-08,399120.39,128676
28,7,3600 Blk Bangor St. SE,2,FY-08,403933.8372816,132529.85013642
29,8,18th & Good Hope Rd (2),2,FY-08,401821.25001564,133094.09000894
30,8,Unit Blk Galveston Pl SW (2),2,FY-08,399228.02425324,128424.52830861
31,1,700 Blk Princeton PL NW,3,FY-08,398036.93010813,140835.63465613
32,4,Unit Blk Sheridan St. NW,3,FY-08,399141.96348516,144278.39638732
33,5,Unit BLK Seaton Place NW (3) 12FT,3,FY-08,399271.47023728,138550.92793401
34,5,Unit Blk T Street NW (12),3,FY-08,398877.31,138655.19
35,5,Farragut Pl. Betw. 6th St & S. Dakota Ave,3,FY-08,400392.49999832,142633.6400018
36,5,Farraday Pl btw 6th St & S. Dakota Ave NE,3,FY-08,400441.15001436,142585.75001775
37,6,200 Blk 18th Street SE ,3,FY-08,401822.42083164,135486.73490716
38,7,55th ST Bet James PL & Eastern AV NE (3),3,FY-08,406781.94998825,136871.81999645
39,7,4900 Blk C St SE (3),3,FY-08,405917.37840344,135293.46652298
40,7,5100 Blk H St SE (3),3,FY-08,406159.06374767,134516.22047426
41,7,Hayes St. NE between 50th Pl. & Division Ave,3,FY-08,406497.88998798,136895.89999647
42,8,3400 Blk 24th ST Se (3),3,FY-08,402596.90000036,131150.84002314
43,8,2900 Blk Pomeroy Rd SE (3),3,FY-08,400315.29,132090.59
44,8,300 Blk Parkland Pl.,3,FY-08,400011.04873396,130764.07531878
45,8,Unit Blk Galveston Pl SW,3,FY-08,399156.44543717,128511.71982869
46,4,1300 Blk Tuckerman St. NW (4),4,FY-08,397265.66729142,144405.98723544
47,5,500 Blk 48th St NE (4),4,FY-08,405704.1,136435.15
48,5,Emerson St NE btw 6th St. & 8th St.,4,FY-08,400437.19999836,142460.69001763
49,7,3600 & 3700 Blk Camden St SE (4),4,FY-08,404088.78544175,132502.04066439
50,7,20th & R Street SE  (12),4,FY-08,396108.21874634,138305.49999778
51,7,4300 C Street SE ,4,FY-08,404658.72,135477.99
52,7,2100- 2300 Nicholson Place SE,4,FY-08,402206.83,134033.89
53,7,3200 O St. SE,4,FY-08,403446.84,133758.52
54,8,3300 Blk Brothers Pl SE (4),4,FY-08,399695.58226967,130571.3148066
55,5,"26th Street Bet. Benning Road & i (Eye) Street, NE (22"")",5,FY-08,402582.32060835,136976.51318055
56,6,3000 Blk Clinton St. NE,5,FY-08,403051.02352078,140315.12735964
57,6,Unit - 200 Blk N St. NW,6,FY-08,398803.08,137691.63
58,6,1200-1400 Blk E Street SE  (12'),6,FY-08,401274.65,135021.02
59,3,3700 Jenifer St. NW ,1,FY-09,393913.67,143437.84
60,3,"2800 Block of 36th Street, NW",1,FY-09,393853.43986425,139856.51497522
61,3,3600 Block of Fulton St. between 36th St and 36th Pl,1,FY-09,393804.6999922,139814.22019118
62,3,3600 Block of Fulton St. between 36th Pl and Wis Ave.,1,FY-09,393704.85394411,139814.13286318
